id;nom;is_actif;date_lancement;anne_lancement;mois_lancement;date_arret;derniere_annee;dernier_mois
1;CI;true;2021-12-07;53047;83204;2021-12-07;38566;685
2;CI;true;2021-12-07;65894;68952;2021-12-07;69498;84345
3;APA;false;2021-12-07;80307;19468;2021-12-07;76007;8883
4;APA;true;2021-12-07;17593;52011;2021-12-07;39025;39776
5;PCH;false;2021-12-07;81968;16944;2021-12-07;80889;37072
6;PCH;true;2021-12-07;34195;29242;2021-12-07;88790;67529
7;APA;true;2021-12-07;48762;98561;2021-12-07;2044;33063
8;APA;false;2021-12-07;61011;28806;2021-12-08;57860;20692
9;PCH;false;2021-12-07;87135;94122;2021-12-07;62249;19208
10;CI;true;2021-12-07;27485;97865;2021-12-07;36633;46098
