id;code;libelle;description
1;Computers SSL encompassing;Cap-Vert Cheese;Cambridgeshire experiences support
2;attitude-oriented Hat;copying;Pants Ergonomic static
3;Rivoli Concrete;aggregate Shirt;Ergonomic utilize
4;aggregate;Chicken loyalty;copying Steel
5;Tuna invoice;Games EXE Soft;web-readiness c
6;de;Alsace c;exuding
7;back-end;Bangladesh Avon;Poitou-Charentes SCSI Movies
8;Buckinghamshire;alliance;calculate networks back-end
9;a AGP SAS;payment Bolivie Architecte;Sleek Frozen
10;Switchable Networked Indonésie;tan b orchestrate;Coordinateur c
