id;nom;localisation;is_actif;date_inscription;anne_lancement;mois_lancement;date_resiliation;derniere_annee;dernier_mois
1;back;auxiliary 24/7;true;2021-12-07;28019;77295;2021-12-07;84031;786
2;back-end engine sexy;indexing programming;false;2021-12-07;99651;56534;2021-12-07;5629;98933
3;Ingenieur;invoice;false;2021-12-07;30282;57103;2021-12-08;70875;30953
4;optimize Intelligent bricks-and-clicks;Concrete;false;2021-12-07;34670;29300;2021-12-07;26167;33320
5;blue synthesize;Alsace;true;2021-12-07;22877;61510;2021-12-07;24486;35575
6;Shoes Tenge synthesizing;Producteur;true;2021-12-07;13;32643;2021-12-07;22231;71613
7;interface scale;navigating Luxembourg;false;2021-12-07;58475;87423;2021-12-07;44706;41232
8;b;Adaptive Auvergne Île-de-France;true;2021-12-08;36132;87241;2021-12-08;55695;24365
9;Sleek Bedfordshire;groupware;false;2021-12-07;21188;15479;2021-12-07;20944;4613
10;quantifying Account hack;a b;true;2021-12-07;32312;94870;2021-12-07;9177;26675
